date,year,month,month_name,tmax,tmin,rain,sun,tmean,tdelta,season,season_year,season_mean_temp,season_mean_tdelta,season_total_rain,season_total_sun,season_rolling_10y_temp,season_rolling_10y_tdelta,season_rolling_10y_rain,season_rolling_10y_sun
1983-06-01,1983,6,June,20.8,11.4,12.0,188.8,16.1,9.4,Summer,1983,19.01666666666667,10.566666666666666,73.7,655.7,17.26,9.413333333333332,132.05,579.12
1983-07-01,1983,7,July,27.6,16.0,50.3,247.8,21.8,11.600000000000001,Summer,1983,19.01666666666667,10.566666666666666,73.7,655.7,17.26,9.413333333333332,132.05,579.12
1983-08-01,1983,8,August,24.5,13.8,11.4,219.1,19.15,10.7,Summer,1983,19.01666666666667,10.566666666666666,73.7,655.7,17.26,9.413333333333332,132.05,579.12
1983-09-01,1983,9,September,19.3,11.3,42.9,113.7,15.3,8.0,Autumn,1983,11.683333333333332,7.1000000000000005,124.1,270.59999999999997,11.306666666666668,7.273333333333332,179.92,309.41
1983-10-01,1983,10,October,15.1,7.6,41.7,114.0,11.35,7.5,Autumn,1983,11.683333333333332,7.1000000000000005,124.1,270.59999999999997,11.306666666666668,7.273333333333332,179.92,309.41
1983-11-01,1983,11,November,11.3,5.5,39.5,42.9,8.4,5.800000000000001,Autumn,1983,11.683333333333332,7.1000000000000005,124.1,270.59999999999997,11.306666666666668,7.273333333333332,179.92,309.41
1983-12-01,1983,12,December,9.2,2.7,50.9,58.5,5.949999999999999,6.499999999999999,Winter,1984,5.0,6.3999999999999995,157.1,218.2,4.718333333333334,5.996666666666667,148.16,170.19
1984-01-01,1984,1,January,8.0,1.4,73.3,88.1,4.7,6.6,Winter,1984,5.0,6.3999999999999995,157.1,218.2,4.718333333333334,5.996666666666667,148.16,170.19
1984-02-01,1984,2,February,7.4,1.3,32.9,71.6,4.3500000000000005,6.1000000000000005,Winter,1984,5.0,6.3999999999999995,157.1,218.2,4.718333333333334,5.996666666666667,148.16,170.19
1984-03-01,1984,3,March,8.9,2.5,73.4,51.4,5.7,6.4,Spring,1984,8.6,8.4,169.70000000000002,426.59999999999997,9.169999999999998,8.180000000000001,163.26000000000002,429.82
1984-04-01,1984,4,April,14.6,3.9,5.4,230.5,9.25,10.7,Spring,1984,8.6,8.4,169.70000000000002,426.59999999999997,9.169999999999998,8.180000000000001,163.26000000000002,429.82
1984-05-01,1984,5,May,14.9,6.8,90.9,144.7,10.85,8.100000000000001,Spring,1984,8.6,8.4,169.70000000000002,426.59999999999997,9.169999999999998,8.180000000000001,163.26000000000002,429.82
1984-06-01,1984,6,June,21.3,11.3,36.1,237.0,16.3,10.0,Summer,1984,18.049999999999997,10.5,83.10000000000001,670.6,17.436666666666667,9.553333333333333,123.88,588.21
1984-07-01,1984,7,July,24.2,12.9,19.2,232.5,18.55,11.299999999999999,Summer,1984,18.049999999999997,10.5,83.10000000000001,670.6,17.436666666666667,9.553333333333333,123.88,588.21
1984-08-01,1984,8,August,24.4,14.2,27.8,201.1,19.299999999999997,10.2,Summer,1984,18.049999999999997,10.5,83.10000000000001,670.6,17.436666666666667,9.553333333333333,123.88,588.21
1984-09-01,1984,9,September,18.6,11.0,73.4,98.1,14.8,7.600000000000001,Autumn,1984,12.083333333333334,6.900000000000001,226.0,264.70000000000005,11.538333333333334,7.31,167.04999999999998,307.1
1984-10-01,1984,10,October,15.8,8.5,82.8,91.2,12.15,7.300000000000001,Autumn,1984,12.083333333333334,6.900000000000001,226.0,264.70000000000005,11.538333333333334,7.31,167.04999999999998,307.1
1984-11-01,1984,11,November,12.2,6.4,69.8,75.4,9.3,5.799999999999999,Autumn,1984,12.083333333333334,6.900000000000001,226.0,264.70000000000005,11.538333333333334,7.31,167.04999999999998,307.1
1984-12-01,1984,12,December,8.7,2.8,56.7,49.3,5.75,5.8999999999999995,Winter,1985,3.3666666666666667,6.0,127.8,174.5,4.345000000000001,5.976666666666667,145.97,170.67000000000002
1985-01-01,1985,1,January,4.1,-1.8,41.3,46.9,1.15,5.8999999999999995,Winter,1985,3.3666666666666667,6.0,127.8,174.5,4.345000000000001,5.976666666666667,145.97,170.67000000000002
1985-02-01,1985,2,February,6.3,0.1,29.8,78.3,3.1999999999999997,6.2,Winter,1985,3.3666666666666667,6.0,127.8,174.5,4.345000000000001,5.976666666666667,145.97,170.67000000000002
1985-03-01,1985,3,March,9.4,1.3,34.1,105.2,5.3500000000000005,8.1,Spring,1985,9.1,8.333333333333334,132.1,426.4,9.221666666666666,8.276666666666667,158.84999999999997,437.44999999999993
1985-04-01,1985,4,April,14.0,5.3,33.3,157.5,9.65,8.7,Spring,1985,9.1,8.333333333333334,132.1,426.4,9.221666666666666,8.276666666666667,158.84999999999997,437.44999999999993
1985-05-01,1985,5,May,16.4,8.2,64.7,163.7,12.299999999999999,8.2,Spring,1985,9.1,8.333333333333334,132.1,426.4,9.221666666666666,8.276666666666667,158.84999999999997,437.44999999999993
1985-06-01,1985,6,June,18.5,9.9,88.9,167.2,14.2,8.6,Summer,1985,16.116666666666664,8.9,183.0,595.9,17.193333333333335,9.366666666666667,134.9,574.1
1985-07-01,1985,7,July,22.9,13.2,35.2,241.4,18.049999999999997,9.7,Summer,1985,16.116666666666664,8.9,183.0,595.9,17.193333333333335,9.366666666666667,134.9,574.1
1985-08-01,1985,8,August,20.3,11.9,58.9,187.3,16.1,8.4,Summer,1985,16.116666666666664,8.9,183.0,595.9,17.193333333333335,9.366666666666667,134.9,574.1
1985-09-01,1985,9,September,20.6,11.4,11.2,143.4,16.0,9.200000000000001,Autumn,1985,11.033333333333333,7.8,59.599999999999994,350.79999999999995,11.561666666666667,7.3166666666666655,153.76999999999995,308.73
1985-10-01,1985,10,October,16.1,8.8,18.4,118.8,12.450000000000001,7.300000000000001,Autumn,1985,11.033333333333333,7.8,59.599999999999994,350.79999999999995,11.561666666666667,7.3166666666666655,153.76999999999995,308.73
1985-11-01,1985,11,November,8.1,1.2,30.0,88.6,4.6499999999999995,6.8999999999999995,Autumn,1985,11.033333333333333,7.8,59.599999999999994,350.79999999999995,11.561666666666667,7.3166666666666655,153.76999999999995,308.73
1985-12-01,1985,12,December,10.0,5.2,80.5,39.0,7.6,4.8,Winter,1986,3.733333333333333,5.133333333333334,200.6,163.7,4.201666666666667,5.909999999999999,159.61999999999998,172.21
1986-01-01,1986,1,January,7.2,1.0,105.6,62.8,4.1,6.2,Winter,1986,3.733333333333333,5.133333333333334,200.6,163.7,4.201666666666667,5.909999999999999,159.61999999999998,172.21
1986-02-01,1986,2,February,1.7,-2.7,14.5,61.9,-0.5000000000000001,4.4,Winter,1986,3.733333333333333,5.133333333333334,200.6,163.7,4.201666666666667,5.909999999999999,159.61999999999998,172.21
1986-03-01,1986,3,March,10.1,1.8,43.5,124.4,5.95,8.299999999999999,Spring,1986,8.366666666666667,8.133333333333333,156.5,431.90000000000003,9.096666666666668,8.179999999999998,170.45,428.7799999999999
1986-04-01,1986,4,April,10.9,3.2,60.7,135.2,7.050000000000001,7.7,Spring,1986,8.366666666666667,8.133333333333333,156.5,431.90000000000003,9.096666666666668,8.179999999999998,170.45,428.7799999999999
1986-05-01,1986,5,May,16.3,7.9,52.3,172.3,12.100000000000001,8.4,Spring,1986,8.366666666666667,8.133333333333333,156.5,431.90000000000003,9.096666666666668,8.179999999999998,170.45,428.7799999999999
1986-06-01,1986,6,June,21.8,11.4,17.2,225.8,16.6,10.4,Summer,1986,16.76666666666667,9.4,138.5,564.6,16.886666666666667,9.126666666666669,144.94,551.72
1986-07-01,1986,7,July,22.6,13.3,54.6,180.5,17.950000000000003,9.3,Summer,1986,16.76666666666667,9.4,138.5,564.6,16.886666666666667,9.126666666666669,144.94,551.72
1986-08-01,1986,8,August,20.0,11.5,66.7,158.3,15.75,8.5,Summer,1986,16.76666666666667,9.4,138.5,564.6,16.886666666666667,9.126666666666669,144.94,551.72
